AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0063,0.004,0.0015,0.0394
GEMLİK,0.0003,0.0004,0.0024,0.001
GÜRSU,0.0006,0.0005,0.0005,0.0009
HARMANCIK,0.0446,0.0902,0.001,0.1658
KARACABEY,0.0004,0.0017,0.0006,0.0045
KELES,0.0345,0.0256,0.0035,0.5
KESTEL,0.0,0.0002,0.0007,0.0011
MUDANYA,0.0,0.0005,0.0003,0.0001
MUSTAFAKEMALPAŞA,0.0004,0.0018,0.0006,0.0016
NİLÜFER,0.0003,0.0022,0.0021,0.0038
ORHANELİ,0.0147,0.0038,0.002,0.0375
ORHANGAZİ,0.0002,0.0005,0.0011,0.0027
OSMANGAZİ,0.0,0.0004,0.0013,0.009
YENİŞEHİR,0.0,0.0,0.0002,0.1532
YILDIRIM,0.0,0.0001,0.0007,0.001
İNEGÖL,0.0009,0.0028,0.0016,0.0101
İZNİK,0.0014,0.0005,0.0023,0.0035
