AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0133,0.2364,0.1163,0.0391
GEMLİK,0.0007,0.0018,0.0054,0.0012
GÜRSU,0.0016,0.0127,0.0123,0.0022
HARMANCIK,0.011,0.5,0.7207,0.5
KARACABEY,0.0001,0.0052,0.0107,0.008
KELES,0.5,0.9258,0.774,0.717
KESTEL,0.0,0.0092,0.0121,0.0026
MUDANYA,0.0,0.0022,0.0023,0.0003
MUSTAFAKEMALPAŞA,0.0001,0.0127,0.0111,0.0069
NİLÜFER,0.0003,0.0328,0.032,0.0208
ORHANELİ,0.006,0.0282,0.1087,0.075
ORHANGAZİ,0.0007,0.0054,0.0133,0.0027
OSMANGAZİ,0.0,0.0304,0.0094,0.0087
YENİŞEHİR,0.0032,0.062,0.1119,0.0659
YILDIRIM,0.0001,0.0036,0.003,0.0005
İNEGÖL,0.0031,0.0973,0.141,0.0977
İZNİK,0.0026,0.0027,0.0176,0.0036
