AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0017,0.7632,0.7387,0.6883
GEMLİK,0.0003,0.0031,0.0111,0.0162
GÜRSU,0.0002,0.0127,0.025,0.0149
HARMANCIK,0.0006,0.9093,0.8655,0.8341
KARACABEY,0.0,0.0122,0.0496,0.0706
KELES,0.002,0.9749,0.9619,0.9409
KESTEL,0.0,0.0247,0.0231,0.0336
MUDANYA,0.0,0.0089,0.0081,0.008
MUSTAFAKEMALPAŞA,0.0001,0.0291,0.0502,0.0786
NİLÜFER,0.0001,0.0852,0.0599,0.0994
ORHANELİ,0.0013,0.5,0.5,0.292
ORHANGAZİ,0.0001,0.0134,0.0252,0.0373
OSMANGAZİ,0.0,0.0303,0.0306,0.0474
YENİŞEHİR,0.0,0.5,0.1092,0.5
YILDIRIM,0.0,0.0037,0.013,0.0056
İNEGÖL,0.0002,0.5,0.2863,0.3241
İZNİK,0.0015,0.0322,0.0543,0.0332
