AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0007,0.2368,0.2613,0.3117
GEMLİK,0.0001,0.0011,0.0057,0.0038
GÜRSU,0.0001,0.0033,0.007,0.0024
HARMANCIK,0.0001,0.5,0.5,0.5
KARACABEY,0.0,0.0027,0.0111,0.0161
KELES,0.0006,0.7857,0.7709,0.7187
KESTEL,0.0,0.0038,0.0072,0.0061
MUDANYA,0.0,0.0022,0.0024,0.001
MUSTAFAKEMALPAŞA,0.0,0.0058,0.0113,0.0158
NİLÜFER,0.0,0.0145,0.0184,0.021
ORHANELİ,0.0004,0.0852,0.1108,0.073
ORHANGAZİ,0.0,0.0027,0.0077,0.0068
OSMANGAZİ,0.0,0.0044,0.0096,0.0089
YENİŞEHİR,0.0,0.063,0.0106,0.1499
YILDIRIM,0.0,0.0008,0.0045,0.0011
İNEGÖL,0.0,0.0981,0.0688,0.0954
İZNİK,0.0009,0.0059,0.0178,0.0073
