AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0021,0.0169,0.0164,0.0051
GEMLİK,0.0003,0.0006,0.0028,0.0003
GÜRSU,0.0004,0.0024,0.003,0.0002
HARMANCIK,0.0005,0.0554,0.1948,0.119
KARACABEY,0.0,0.001,0.0024,0.0018
KELES,0.0181,0.344,0.1416,0.199
KESTEL,0.0,0.0012,0.0035,0.0004
MUDANYA,0.0,0.0006,0.0007,0.0
MUSTAFAKEMALPAŞA,0.0,0.0023,0.0026,0.001
NİLÜFER,0.0001,0.0046,0.0092,0.0024
ORHANELİ,0.0009,0.0023,0.0184,0.0141
ORHANGAZİ,0.0001,0.0009,0.0037,0.0003
OSMANGAZİ,0.0,0.0028,0.0031,0.001
YENİŞEHİR,0.0,0.0019,0.0054,0.0064
YILDIRIM,0.0,0.0005,0.0012,0.0001
İNEGÖL,0.0001,0.009,0.0239,0.015
İZNİK,0.0013,0.0006,0.0065,0.0008
