AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0022,0.0188,0.0176,0.009
GEMLİK,0.0003,0.0006,0.0029,0.0005
GÜRSU,0.0005,0.0026,0.0031,0.0004
HARMANCIK,0.0005,0.0612,0.2099,0.1927
KARACABEY,0.0,0.001,0.0026,0.0027
KELES,0.0204,0.3737,0.1556,0.3222
KESTEL,0.0,0.0013,0.0037,0.0006
MUDANYA,0.0,0.0006,0.0007,0.0001
MUSTAFAKEMALPAŞA,0.0,0.0024,0.0027,0.0017
NİLÜFER,0.0001,0.005,0.0096,0.0044
ORHANELİ,0.001,0.0025,0.0195,0.0218
ORHANGAZİ,0.0001,0.0009,0.0039,0.0006
OSMANGAZİ,0.0,0.0031,0.0032,0.0019
YENİŞEHİR,0.0,0.0022,0.0061,0.0125
YILDIRIM,0.0,0.0006,0.0012,0.0001
İNEGÖL,0.0002,0.0098,0.0255,0.0257
İZNİK,0.0013,0.0007,0.0067,0.0011
