AD,min1,min2,min3,min4
BÜYÜKORHAN,0.1458,0.087,0.1159,0.0827
GEMLİK,0.0012,0.0011,0.0074,0.002
GÜRSU,0.0027,0.0032,0.0124,0.0058
HARMANCIK,0.5,0.034,0.2809,0.1684
KARACABEY,0.0008,0.0025,0.0109,0.0332
KELES,0.8594,0.5,0.7725,0.5
KESTEL,0.0001,0.0018,0.0122,0.006
MUDANYA,0.0,0.0008,0.0024,0.001
MUSTAFAKEMALPAŞA,0.0012,0.0031,0.0111,0.0156
NİLÜFER,0.0038,0.0035,0.0315,0.0207
ORHANELİ,0.0505,0.0283,0.0504,0.1508
ORHANGAZİ,0.0016,0.0026,0.0134,0.0158
OSMANGAZİ,0.0,0.0044,0.0094,0.0037
YENİŞEHİR,0.0304,0.0038,0.267,0.0665
YILDIRIM,0.0002,0.0008,0.0046,0.001
İNEGÖL,0.0536,0.006,0.0679,0.0462
İZNİK,0.006,0.0028,0.0176,0.0152
